product,rating,country,review_date,comment
Mechanical Keyboard TKL,5,Spain,2026-01-20,Great tactile feel and solid build
Mechanical Keyboard TKL,4,Mexico,2026-03-08,Nice keys but a bit loud
Mechanical Keyboard TKL,5,Colombia,2026-03-15,Best keyboard I have owned
Wireless Mouse Pro,3,Argentina,2026-02-10,Battery life shorter than advertised
Wireless Mouse Pro,4,Spain,2026-05-12,Comfortable and precise
27-inch 4K Monitor,5,Mexico,2026-01-25,Stunning image quality
27-inch 4K Monitor,4,Spain,2026-03-22,Great panel although stand is wobbly
27-inch 4K Monitor,5,Argentina,2026-06-20,Perfect for photo editing
USB-C Docking Station,2,Spain,2026-03-10,Gets hot and drops the ethernet connection
USB-C Docking Station,3,Chile,2026-04-02,Works but needs firmware update
Noise-Cancelling Headset,5,Spain,2026-01-28,Silence is incredible on flights
Noise-Cancelling Headset,4,Chile,2026-04-15,Very good sound with decent mic
Noise-Cancelling Headset,5,Spain,2026-07-01,Worth every euro
Webcam 1080p,3,Mexico,2026-03-12,Average image in low light
Standing Desk Frame,4,Chile,2026-02-18,Sturdy and easy to assemble
Standing Desk Frame,5,Colombia,2026-05-20,Motor is quiet and smooth
Ergonomic Chair,4,Mexico,2026-02-25,My back thanks me every day
Ergonomic Chair,2,Spain,2026-06-08,Armrests came misaligned
Portable SSD 1TB,5,Spain,2026-02-14,Insanely fast transfers
Portable SSD 1TB,5,Mexico,2026-04-22,Tiny and reliable
Portable SSD 1TB,4,Spain,2026-06-30,Good value for the speed
Laptop Stand Aluminium,4,Argentina,2026-04-05,Solid and looks premium
